favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter Web Client,"@cjmckeon the Queen, Charles, and William were all the first born anyway. Now is perfect time to change.",cjmckeon,False,Sat Apr 16 17:03:27 +0000 2011,0,59300885825732608
0,Twitter Web Client,@danbrusca quite so.,danbrusca,False,Sat Jul 30 14:56:15 +0000 2011,0,97319598839447552
0,Twitter Web Client,"@jonnygould would love to go, but don't want to leave kids with babysitter. Will make a point of treating self to see him play soon tho",jonnygould,False,Sat Jul 30 23:26:31 +0000 2011,0,97448012850274304
0,Echofon,@blackmore_mark then you don't really know any Conservatives,blackmore_mark,False,Sun Jul 31 12:41:51 +0000 2011,0,97648164194095104
0,Echofon,"RT @CommentatorIntl: Wow, our UK Political Editor (@MrHarryCole) is now at nearly 10,000 followers! Help him get there &lt;~~ he's must follow",,False,Mon Aug 01 13:29:05 +0000 2011,1,98022438683684864
0,Echofon,"@AvitalLeibovich up to you. I avoid anti-Semites, but I have that luxury, living in Britain.",AvitalLeibovich,False,Tue Aug 02 18:34:51 +0000 2011,2,98461776462622721
1,Echofon,Praying for the poor girl in Sydney - how can people be so cruel,,False,Wed Aug 03 09:52:23 +0000 2011,5,98692681580019712
1,Echofon,"@patrickround Guido believes in the death penalty on principle, which is fair enough, and I am utterly opposed.",patrickround,False,Thu Aug 04 16:05:42 +0000 2011,0,99149016369086464
0,Echofon,@JoshHalliday your article online not quite correct - the quoted text was what I *suggested* the NS print for me to drop my complaint.,JoshHalliday,False,Tue Sep 20 13:10:47 +0000 2011,0,116137229516152833
0,Echofon,@JoshHalliday your article online not quite correct - the quoted text was what I *suggested* the NS print for me to drop my complaint.,JoshHalliday,False,Tue Sep 20 13:10:55 +0000 2011,0,116137262034591744
1,Twitter Web Client,"You can see Labour's defeat on this already by the multiple tweets to me saying ""Yeah? Only 'cause he's gonna LIE!"". Pathetic. #Leveson",,False,Thu May 31 07:04:00 +0000 2012,10,208091440377630720
0,Twitter Web Client,@mediacoach QTWTAIN @JohnRentoul,mediacoach,False,Thu May 31 08:03:41 +0000 2012,0,208106460054433793
5,Echofon,"RT @hwallop: Mart cartoon. In a week of glorious cartoons, this may trump them all. Via @benschott http://t.co/ZFEIUgNR &lt;~ #GSTQ",,False,Sat Jun 02 08:20:41 +0000 2012,26,208835517083684865
5,Twitter Web Client,".@MarkSZaidEsq @FoxNews No, I just checked article. @EdRollins and @REALStaceyDash both pro-Trump",MarkSZaidEsq,False,Sun Jan 22 16:00:54 +0000 2017,3,823198764647202816
10,Twitter Web Client,His Royal Highness should tend to his own garden. https://t.co/4GmzpthYJD,,False,Sun Jan 22 16:17:53 +0000 2017,6,823203037716054016
106,Twitter Web Client,.@SenJohnMcCain @LindseyGrahamSC Sanctions? Yes or no.,SenJohnMcCain,False,Sun Jan 22 16:20:38 +0000 2017,27,823203730430509056
121,Twitter Web Client,@SenJohnMcCain @LindseyGrahamSC is your bipartisan bill on Russian sanctions still proceeding?,SenJohnMcCain,False,Sun Jan 22 16:21:22 +0000 2017,44,823203916682788864
13,Twitter Web Client,@HepolaElizabeth @sintjin @maharet21 @BritishDemocrat @th3j35t3r and it was faked by Jack Pobosiec,HepolaElizabeth,False,Sun Jan 22 16:22:15 +0000 2017,6,823204137940746240
18,Twitter Web Client,@HepolaElizabeth @sintjin @maharet21 @BritishDemocrat @th3j35t3r the violent protests orchestrated. https://t.co/PCuAKtJv7I,HepolaElizabeth,False,Sun Jan 22 16:23:30 +0000 2017,19,823204452106719232
90,Twitter Web Client,@JbkJbk1234 @SenJohnMcCain @LindseyGrahamSC I want to hear if the bill they already introduced for harsher Russia sanctions is going forward,JbkJbk1234,False,Sun Jan 22 16:24:14 +0000 2017,30,823204635032907777
38,Twitter Web Client,@SenJohnMcCain @LindseyGrahamSC be careful. He stands higher in succession order than Mattis and was in with Carter Page,LouiseMensch,False,Sun Jan 22 16:25:02 +0000 2017,23,823204839052152837
46,Twitter Web Client,@SenJohnMcCain @LindseyGrahamSC you both should have taken intel briefings on him first,LouiseMensch,False,Sun Jan 22 16:25:17 +0000 2017,18,823204900687540228
39,Twitter Web Client,@SenJohnMcCain @GStephanopoulos @ThisWeekABC Is your Russian sanctions bill proceeding,SenJohnMcCain,False,Sun Jan 22 16:27:29 +0000 2017,16,823205454033682433
91,Twitter Web Client,@SenJohnMcCain Is it possible that you read the intelligence report and missed that @GenFlynn is a Russian agent?,SenJohnMcCain,False,Sun Jan 22 16:31:38 +0000 2017,44,823206499048652800
114,Twitter Web Client,"I hate to say it but in his interview @SenJohnMcCain repeatedly says he trust @GenFlynn. Call his office, and tell him the truth on Flynn",,False,Sun Jan 22 16:32:29 +0000 2017,82,823206713021104132
87,Twitter Web Client,I do not understand how @SenJohnMcCain presented the report of Chris Steele if he did not read its evidence on @GenFlynn and Putin,,False,Sun Jan 22 16:33:11 +0000 2017,55,823206890612162562
67,Twitter Web Client,@Evan_McMullin please reach out through channels to @SenJohnMcCain @LindseyGrahamSC and enlighten them on Mike Flynn.,Evan_McMullin,False,Sun Jan 22 16:33:57 +0000 2017,39,823207080970616832
72,Twitter Web Client,@Evan_McMullin In his TV interview today @SenJohnMcCain repeatedly cites Mike Flynn as trustworthy on Russia. We need help and fast,Evan_McMullin,False,Sun Jan 22 16:34:41 +0000 2017,46,823207267734618117
3,Twitter Web Client,@TheScientistUK @SenJohnMcCain @LindseyGrahamSC scroll down my TL,TheScientistUK,False,Sun Jan 22 16:36:15 +0000 2017,0,823207660849889280
16,Twitter Web Client,yes https://t.co/SgAUeK6pni,,False,Sun Jan 22 16:38:01 +0000 2017,8,823208107291660291
6,Twitter Web Client,"@LinkedInHelp hello. I am trying to delete my account. your site won't let me, saying I have a premium account. but my settings say I don't",LinkedInHelp,False,Sun Jan 22 16:50:21 +0000 2017,2,823211209629503488
2,Twitter Web Client,@LinkedInHelp my settings say I have a basic account. I wish to delete my account please email me and stop preventing deletion of my account,LinkedInHelp,False,Sun Jan 22 16:51:04 +0000 2017,4,823211391112933377
7,Twitter Web Client,.@greenleafjenjen I'm trying to. @LinkedIn is preventing deletion. Have asked to resolve. https://t.co/0OfJoLBtXg,greenleafjenjen,False,Sun Jan 22 16:52:29 +0000 2017,4,823211747133849602
21,Twitter Web Client,I'm certainly trying to delete mine and I refer folks to this from the Justice Dept https://t.co/0OfJoLBtXg https://t.co/UGfXNkBTmY,,False,Sun Jan 22 16:53:10 +0000 2017,25,823211916709466114
2,Twitter Web Client,@greenleafjenjen it says I have a premium account when my settings say I have a basic one. it won't let me delete. @linkedin,greenleafjenjen,False,Sun Jan 22 16:54:34 +0000 2017,0,823212271035891712
13,Twitter Web Client,"@matthewamiller you know why.
One was criminal, you can comment on those. Other was NATSEC through FISA and requires GLOMAR",matthewamiller,False,Sun Jan 22 16:57:18 +0000 2017,8,823212958729834496
7,Twitter Web Client,"@tgruka @greenleafjenjen annoyingly it will take me a while to redo the deletion of the archive. 
this is me doing the deleting",tgruka,False,Sun Jan 22 16:58:17 +0000 2017,1,823213207162654721
2,Twitter Web Client,thank you Cardigan dot com that is some excellent service.,,False,Sun Jan 22 20:10:47 +0000 2017,0,823261650379821056
5,Twitter Web Client,@MarshallLocke @joshrogin puppet show goes second,MarshallLocke,False,Sun Jan 22 20:16:04 +0000 2017,0,823262979244326912
21,Twitter Web Client,"So @Support, I can post, but I can't see any notifications. cc @SarahKendzior are you being hacked, @TwitterEng? CC @Jack",,False,Sun Jan 22 20:28:22 +0000 2017,9,823266076494614535
15,Twitter Web Client,"""something technically wrong"" when I hit notifications. Countless anti-Russian accounts cf @sarahkendzior @DarthPutinKGB struck other ways",,False,Sun Jan 22 20:30:28 +0000 2017,9,823266602821025792
10,Twitter Web Client,@TomArnold I trust your judgement and @SenJohnMcCain's but I pray he is not misguided on Flynn.,TomArnold,False,Sun Jan 22 20:58:56 +0000 2017,0,823273768479027209
31,Twitter Web Client,I can now see my notifications again. After publicly pointing out the trouble anti-Russian accounts were having.,,False,Sun Jan 22 20:59:44 +0000 2017,10,823273968333422592
17,Twitter Web Client,OK - finishing piece now.,,False,Sun Jan 22 20:59:54 +0000 2017,0,823274009190080512
11,Twitter Web Client,"brilliant service from cardigan dot com by the way, enabled me to delete all my old tweets past the normal 3k limit.",,False,Sun Jan 22 21:00:37 +0000 2017,1,823274191558414336
7,Twitter Web Client,"@20committee I opened Atlakvitha and was struck by ""Mirkwood, the un-tracked"". Whence Tolkien stole the name https://t.co/gbURS6M3nD",20committee,False,Sun Jan 22 21:07:24 +0000 2017,2,823275899349069824
3,Twitter Web Client,".@20committee ""Atli mic hingat sendi 
riþa ǫrindi 
mar inom melgreypa 
Myrcvið inn okvnna, 
at biþia yðr, Gvnnarr!"" https://t.co/gbURS6M3nD",20committee,False,Sun Jan 22 21:08:09 +0000 2017,1,823276086591156225
5,Twitter Web Client,@Mark_Isomer LOL nothing. I already pointed people to how to save my tweets this am when I announced I was deleting. :),Mark_Isomer,False,Sun Jan 22 21:09:06 +0000 2017,1,823276324420784132
18,Twitter Web Client,I fear no-one. https://t.co/2arxAsp2pw,,False,Sun Jan 22 21:09:32 +0000 2017,2,823276434387070976
202,Twitter Web Client,"There's a choice to be made for conservatives now. 

You can be Churchill, or you can be Chamberlain.
Both were Conservatives. 
#treason",,False,Sun Jan 22 21:12:24 +0000 2017,127,823277157745041413
102,Twitter Web Client,"This is very important and much more than crowd sizes. 
@SecretService remembers it serves AMERICA, not the Preside… https://t.co/7SA00zYnLP",,False,Sun Jan 22 21:13:44 +0000 2017,70,823277491540422657
45,Twitter Web Client,"If @presssec has duty to represent other than Trump personally, perhaps lawyers should bring cases. https://t.co/B1Ox7kCF9X",,False,Sun Jan 22 21:14:52 +0000 2017,30,823277777042472960
0,Twitter Web Client,"@StaceyDash you rule, and I love you. That is all.",staceydash,False,Sun Jan 22 21:16:49 +0000 2017,0,823278268941996034
73,Twitter Web Client,Number one item on the list for constitutional conservatives is to acknowledge nothing changed Jan 20th if Trump committed espionage.,,False,Sun Jan 22 21:24:28 +0000 2017,33,823280192768577541
269,Twitter Web Client,I don't want to hear any 'giving chances' etc. If you already believed Trump committed espionage all your focus should be on impeachment.,,False,Sun Jan 22 21:25:06 +0000 2017,115,823280351825055747
73,Twitter Web Client,The test of your character as a patriot will be if Trump promises to enact things you like (Israel embassy to Jerusalem). Should not matter.,,False,Sun Jan 22 21:25:55 +0000 2017,33,823280558063099905
190,Twitter Web Client,"The man spied with the Russians, colluding in hacking of the DNC and others. IC knows that already. Therefore, he should be impeached. End.",,False,Sun Jan 22 21:26:49 +0000 2017,86,823280786463981568
309,Twitter Web Client,"If you say 'Trump spied with Russia but i like his Scotus pick so hush' you just took the ""I"" bribe from @PutinRF (MICE) cc @CatchaRUSSpy",,False,Sun Jan 22 21:27:44 +0000 2017,143,823281015321985026
155,Twitter Web Client,"Russians recruit, I learned from @MalcolmNance @CatchaRUSSpy through #MICE inducements - Money, Ideology, {kompromat], Ego",,False,Sun Jan 22 21:28:39 +0000 2017,105,823281247619338240
143,Twitter Web Client,If Vladimir Putin can buy your assent to his assault on America with Ego (a Trump job) or ideology (Jerusalem embassy) - you just got turned,,False,Sun Jan 22 21:29:56 +0000 2017,90,823281567451717634
